rec_id,signal,N. of measurements,eta,direct_method,p,maxiter_stage,MSE,SNR [dB]
a_118,19,60,16,True,0.9,10,1.7575303182251693e-17,153.8914624440417
a_119,19,60,16,True,1,10,1.6874748485958562e-14,124.06811656781095
a_120,2,60,16,True,0.1,10,1.4733451886929097e-29,267.7162711960926
a_121,2,60,16,True,0.2,10,1.705865884713528e-29,267.0798674491579
a_122,2,60,16,True,0.3,10,1.037397862998932e-28,259.239862798011
a_123,2,60,16,True,0.4,10,2.829760219329041e-27,244.8818199183266
a_124,2,60,16,True,0.5,10,8.400057916158264e-26,230.15649348411705
a_125,2,60,16,True,0.6,10,2.624309224746864e-24,215.20916621792395
a_126,2,60,16,True,0.7,10,9.962469221823073e-23,199.4156463611601
a_127,2,60,16,True,0.8,10,1.9584524330442487e-20,176.4801860068732
a_128,2,60,16,True,0.9,10,7.621434621976278e-17,140.5789488166614
a_129,2,60,16,True,1,10,9.09291747364339e-11,79.8120823450637
a_130,20,60,16,True,0.1,10,2.3896363019272413e-29,266.0937889726285
a_131,20,60,16,True,0.2,10,2.3404559015409695e-25,226.1841024181015
a_132,20,60,16,True,0.3,10,7.526795646731469e-29,261.11100579396475
a_133,20,60,16,True,0.4,10,2.001141905549321e-27,246.86432817908212
a_134,20,60,16,True,0.5,10,5.889464080293147e-26,232.17634927076904
a_135,20,60,16,True,0.6,10,1.8034420607324414e-24,217.31608510171384
a_136,20,60,16,True,0.7,10,6.787233868412996e-23,201.56017890466399
a_137,20,60,16,True,0.8,10,1.4429551670796118e-20,178.28457866634423
a_138,20,60,16,True,0.9,10,9.069295380075193e-18,150.3013715341107
a_139,20,60,16,True,1,10,1.5525068555755698e-08,57.96454486144584
a_140,21,60,16,True,0.1,10,4.0933049987383654e-29,261.03066564899444
a_141,21,60,16,True,0.2,10,1.2276555753565107e-27,246.26064130230986
a_142,21,60,16,True,0.3,10,3.055469639399711e-28,252.3006269801003
a_143,21,60,16,True,0.4,10,5.9777682768575885e-27,239.38601594760232
