rec_id,signal,N. of measurements,eta,direct_method,p,maxiter_stage,MSE,SNR [dB]
c_42,12,60,16,False,0.3,10,6.320283752549441e-18,158.66547409451846
c_43,12,60,16,False,0.4,10,5.0262586082355074e-18,159.6603915568052
c_44,12,60,16,False,0.5,10,5.3336728968155904e-18,159.40257609083918
c_45,12,60,16,False,0.6,10,1.0951244862135552e-17,156.27820496329215
c_46,12,60,16,False,0.7,10,5.116499477220367e-18,159.583110513939
c_47,12,60,16,False,0.8,10,7.628617379315821e-18,157.84838154806923
c_48,12,60,16,False,0.9,10,5.4095477909252854e-17,149.34123024158805
c_49,12,60,16,False,1,10,1.502107448696972e-12,104.90582656902937
c_50,13,60,16,False,0.1,10,6.352358218644096e-21,181.10249827992175
c_51,13,60,16,False,0.2,10,4.362044136076812e-19,162.73494753473955
c_52,13,60,16,False,0.3,10,1.560027545743639e-21,187.20052541737255
c_53,13,60,16,False,0.4,10,9.706072716672113e-19,159.26141267704287
c_54,13,60,16,False,0.5,10,9.24834258174306e-21,179.47120899942422
c_55,13,60,16,False,0.6,10,4.0896244955689944e-20,173.01501375036682
c_56,13,60,16,False,0.7,10,1.2999246218938614e-18,157.99266638614088
c_57,13,60,16,False,0.8,10,4.72571325863979e-19,162.3871744216726
c_58,13,60,16,False,0.9,10,2.2071844118138599e-16,135.6934616880908
c_59,13,60,16,False,1,10,3.086046292664889e-05,24.151361138319253
c_60,14,60,16,False,0.1,10,2.953584948720256e-18,156.76350714656823
c_61,14,60,16,False,0.2,10,1.5180699686497433e-20,179.65408393248367
c_62,14,60,16,False,0.3,10,3.0724732406864843e-18,156.59212072366148
c_63,14,60,16,False,0.4,10,2.419625178963913e-23,207.62952086953294
c_64,14,60,16,False,0.5,10,3.868792320637508e-18,155.59124764108674
c_65,14,60,16,False,0.6,10,1.8588285503689e-18,158.7746084741255
c_66,14,60,16,False,0.7,10,5.474270609374835e-19,164.08373919779177
c_67,14,60,16,False,0.8,10,8.378744666120834e-19,162.2352122539698
c_68,14,60,16,False,0.9,10,2.0383214463677246e-17,148.374275056542
c_69,14,60,16,False,1,10,7.565115147260693e-12,92.67882473812605
c_70,15,60,16,False,0.1,10,6.641015960679982e-18,155.6955471664367
c_71,15,60,16,False,0.2,10,7.835933614061092e-18,154.97698492094543
c_72,15,60,16,False,0.3,10,3.973642668644101e-18,157.9260043310679
c_73,15,60,16,False,0.4,10,5.949065768043442e-18,156.17340472149198
c_74,15,60,16,False,0.5,10,6.3002072162305746e-18,155.92434406792788
c_75,15,60,16,False,0.6,10,5.6474253030126924e-18,156.39938749201914
c_76,15,60,16,False,0.7,10,5.611900729008206e-18,156.42679264147026
c_77,15,60,16,False,0.8,10,4.961748871382868e-18,156.9615446275062
