rec_id,phantom,zeros_pct_in_synthetic_image,Algorithm,simulate_measurements,N. angles,p,SSIM,MSE,PSNR [dB],SNR [dB]
122,000324094767_slice_5,0.7,irls_drs,True,210,0.3,0.9999999754939555,3.479774727842182e-10,94.58448870312552,89.7088309578132
123,000324094767_slice_5,0.7,irls_drs,True,210,0.4,0.9999999751617631,3.5273514172985244e-10,94.52551270984361,89.64985496453131
124,000324094767_slice_5,0.7,irls_drs,True,210,0.5,0.9999999746087306,3.6042008778126835e-10,94.43191011895415,89.55625237364185
125,000324094767_slice_5,0.7,irls_drs,True,210,0.6,0.9999999715979506,4.012028514714355e-10,93.96635988976871,89.09070214445642
126,000324094767_slice_5,0.7,irls_drs,True,210,0.7,0.9999999648515179,4.938633522118525e-10,93.06393200043519,88.18827425512289
127,000324094767_slice_5,0.7,irls_drs,True,210,0.8,0.9999999470248092,7.418291653249473e-10,91.29696096201945,86.42130321670714
128,000324094767_slice_5,0.7,irls_drs,True,210,0.9,0.999999914531786,1.187369574121383e-09,89.2541408389277,84.3784830936154
129,000324094767_slice_5,0.7,irls_drs,True,210,1.0,0.9999998700986321,1.7876978713917022e-09,87.47705876968817,82.60140102437589
130,000324094767_slice_5,0.7,irls_drs,True,220,0.1,0.9999999901198908,1.3876413140771855e-10,98.57722778440353,93.70157003909122
131,000324094767_slice_5,0.7,irls_drs,True,220,0.2,0.9999999903741013,1.3603607689217996e-10,98.66345901060438,93.78780126529207
132,000324094767_slice_5,0.7,irls_drs,True,220,0.3,0.9999999904996589,1.3447701510265391e-10,98.71351939208928,93.83786164677699
133,000324094767_slice_5,0.7,irls_drs,True,220,0.4,0.9999999901557429,1.3886899346735272e-10,98.57394712284369,93.6982893775314
134,000324094767_slice_5,0.7,irls_drs,True,220,0.5,0.9999999889766576,1.5470484025316162e-10,98.10496098308683,93.22930323777453
135,000324094767_slice_5,0.7,irls_drs,True,220,0.6,0.9999999857136826,2.001033995116909e-10,96.98745533169749,92.1117975863852
136,000324094767_slice_5,0.7,irls_drs,True,220,0.7,0.9999999821876921,2.4975839950623835e-10,96.02479897304704,91.14914122773473
137,000324094767_slice_5,0.7,irls_drs,True,220,0.8,0.9999999715931972,3.9536077593517e-10,94.03006419594688,89.15440645063457
138,000324094767_slice_5,0.7,irls_drs,True,220,0.9,0.9999999449854171,7.563535291003239e-10,91.21275162369682,86.33709387838451
139,000324094767_slice_5,0.7,irls_drs,True,220,1.0,0.9999999082359697,1.254898670778806e-09,89.01391340715435,84.13825566184204
140,000324094767_slice_10,0.7,irls_drs,True,160,0.1,0.9999920046890257,5.735938241204807e-08,72.41395533359844,65.97631948511791
141,000324094767_slice_10,0.7,irls_drs,True,160,0.2,0.9999920314377475,5.799632646179035e-08,72.36599514159467,65.92835929311414
142,000324094767_slice_10,0.7,irls_drs,True,160,0.3,0.9999918159835951,5.882990979339098e-08,72.30401817535765,65.86638232687713
143,000324094767_slice_10,0.7,irls_drs,True,160,0.4,0.9999919197862265,5.801179214341767e-08,72.36483717777107,65.92720132929054
144,000324094767_slice_10,0.7,irls_drs,True,160,0.5,0.9999921436647757,5.6821201865622155e-08,72.45489584444701,66.0172599959665
145,000324094767_slice_10,0.7,irls_drs,True,160,0.6,0.9999924355883207,5.3677658208704295e-08,72.70206439359595,66.26442854511542
146,000324094767_slice_10,0.7,irls_drs,True,160,0.7,0.999993251272323,4.8953391034435784e-08,73.10217218946961,66.66453634098909
147,000324094767_slice_10,0.7,irls_drs,True,160,0.8,0.9999941134287873,4.415127619682835e-08,73.55056738581769,67.11293153733716
148,000324094767_slice_10,0.7,irls_drs,True,160,0.9,0.999992065233879,6.114801592547861e-08,72.13617629986575,65.69854045138524
149,000324094767_slice_10,0.7,irls_drs,True,160,1.0,0.9999917496128339,6.442043492488626e-08,71.90976347432495,65.47212762584442
150,000324094767_slice_10,0.7,irls_drs,True,170,0.1,0.9999999176321754,6.208914372781906e-10,92.06984329473512,85.6322074462546
151,000324094767_slice_10,0.7,irls_drs,True,170,0.2,0.9999999196490844,6.052367060941703e-10,92.18074740974788,85.74311156126738
152,000324094767_slice_10,0.7,irls_drs,True,170,0.3,0.9999999209476413,5.944080373950785e-10,92.25915326816909,85.82151741968858
153,000324094767_slice_10,0.7,irls_drs,True,170,0.4,0.9999999223704651,5.829309492846626e-10,92.34382886271342,85.9061930142329
154,000324094767_slice_10,0.7,irls_drs,True,170,0.5,0.999999922218209,5.84204345580167e-10,92.33435216868686,85.89671632020634
155,000324094767_slice_10,0.7,irls_drs,True,170,0.6,0.9999990961768062,7.628983039840049e-09,81.17533350593169,74.73769765745116
156,000324094767_slice_10,0.7,irls_drs,True,170,0.7,0.9999982023700303,1.4325818464523579e-08,78.4388055648294,72.00116971634887
157,000324094767_slice_10,0.7,irls_drs,True,170,0.8,0.9999965190992629,2.5956314646153226e-08,75.8575696990164,69.41993385053587
158,000324094767_slice_10,0.7,irls_drs,True,170,0.9,0.9999958038367995,3.120145225771477e-08,75.0582519146766,68.62061606619608
159,000324094767_slice_10,0.7,irls_drs,True,170,1.0,0.9999939637741617,4.528501659085767e-08,73.44045468810774,67.00281883962721
160,000324094767_slice_10,0.7,irls_drs,True,180,0.1,0.9999999478324675,3.881341121843936e-10,94.11018186473042,87.6725460162499
161,000324094767_slice_10,0.7,irls_drs,True,180,0.2,0.9999999486555774,3.8212576616410193e-10,94.1779367750234,87.74030092654287
162,000324094767_slice_10,0.7,irls_drs,True,180,0.3,0.9999999508794332,3.658550226118669e-10,94.36690978412068,87.92927393564015
163,000324094767_slice_10,0.7,irls_drs,True,180,0.4,0.9999999521445988,3.5793388961922667e-10,94.46197180129585,88.0243359528153
164,000324094767_slice_10,0.7,irls_drs,True,180,0.5,0.9999999511108915,3.654436980928002e-10,94.37179522922492,87.93415938074439
165,000324094767_slice_10,0.7,irls_drs,True,180,0.6,0.9999999491012826,3.802795282388363e-10,94.1989705353192,87.76133468683868
166,000324094767_slice_10,0.7,irls_drs,True,180,0.7,0.9999999443108316,4.1561331589288223e-10,93.81310546470593,87.3754696162254
167,000324094767_slice_10,0.7,irls_drs,True,180,0.8,0.9999999357480321,4.794766431224353e-10,93.19232543884569,86.75468959036516
168,000324094767_slice_10,0.7,irls_drs,True,180,0.9,0.9999976587897537,1.7383176064178655e-08,77.59870871090479,71.16107286242426
169,000324094767_slice_10,0.7,irls_drs,True,180,1.0,0.9999951910075454,3.54961921762612e-08,74.49818233016319,68.06054648168268
170,000324094767_slice_10,0.7,irls_drs,True,190,0.1,0.9999999808942373,1.4443973396500755e-10,98.40313320145762,91.9654973529771
