rec_id,phantom,Algorithm,ideal_measurements,N. angles,p,SSIM,MSE,PSNR [dB],SNR [dB]
irls_cg#1_287,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,False,200,0.8,0.85579031840028,0.0019320245186751485,27.139873663999495,22.791386453826355
irls_cg#1_288,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,False,200,0.7,0.8545401131950364,0.0019481495242287677,27.103777132400726,22.755289922227586
irls_cg#1_289,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,False,210,1,0.8659889742005267,0.0018053325486700274,27.434427878027392,23.085940667854253
irls_cg#1_290,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,False,210,0.9,0.8649060427215678,0.00182035706524781,27.398434162692766,23.049946952519626
irls_cg#1_291,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,False,210,0.8,0.863787198139458,0.001834718419596594,27.364305789317662,23.015818579144522
irls_cg#1_292,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,False,210,0.7,0.8625991103173803,0.0018489610356328967,27.33072240916504,22.9822351989919
irls_cg#1_293,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,False,220,1,0.8744133376608542,0.0016997104514811336,27.696250551124216,23.347763340951076
irls_cg#1_294,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,False,220,0.9,0.873318099292313,0.0017149114207668868,27.6575830737961,23.309095863622957
irls_cg#1_295,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,False,220,0.8,0.872362521581861,0.0017272843960214543,27.62636150299253,23.277874292819387
irls_cg#1_296,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,False,220,0.7,0.871594823010033,0.0017391281669646205,27.59668411007982,23.248196899906674
irls_cg#2_297,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,120,1,0.8695083924635195,0.0016183716070151154,27.90921749506176,23.56073028488862
irls_cg#2_298,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,120,0.9,0.8638973769033927,0.001708379719538684,27.674155927970272,23.325668717797132
irls_cg#2_299,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,120,0.8,0.8604866870550564,0.001770434657730293,27.519200973220457,23.170713763047313
irls_cg#2_300,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,120,0.7,0.856977203200458,0.0018302890517594213,27.374803180996153,23.026315970823013
irls_cg#2_301,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,130,1,0.8902299596097737,0.0013494139003502833,28.698548204780923,24.350060994607784
irls_cg#2_302,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,130,0.9,0.8855705036642093,0.0014211338306766306,28.473650218701643,24.125163008528503
irls_cg#2_303,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,130,0.8,0.8815537194783819,0.0014860561864202273,28.279647699893342,23.931160489720202
irls_cg#2_304,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,130,0.7,0.8779046725305666,0.0015465127939270815,28.106464828325123,23.757977618151983
irls_cg#2_305,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,140,1,0.9081933925296788,0.0011353897679214442,29.448550239341735,25.100063029168595
irls_cg#2_306,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,140,0.9,0.904059113251249,0.0011963514646400415,29.22141214385768,24.872924933684537
irls_cg#2_307,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,140,0.8,0.9006022212069272,0.0012498124389726136,29.031551572567977,24.683064362394838
irls_cg#2_308,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,140,0.7,0.8972597430531033,0.0013045209805616642,28.845489317658412,24.497002107485272
irls_cg#2_309,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,150,1,0.9270794722191734,0.0009004071238684809,30.45561077593628,26.10712356576314
irls_cg#2_310,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,150,0.9,0.9234782403767048,0.0009560610818871206,30.19514360151627,25.84665639134313
irls_cg#2_311,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,150,0.8,0.9203390265927793,0.001005027447112787,29.97822077579952,25.62973356562638
irls_cg#2_312,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,150,0.7,0.9174704147498105,0.0010457988428169615,29.8055184305569,25.45703122038376
irls_cg#2_313,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,160,1,0.9360789312346347,0.0007777895377563896,31.091379029540867,26.742891819367728
irls_cg#2_314,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,160,0.9,0.9327386264729601,0.0008231881809248193,30.845008736634814,26.496521526461674
irls_cg#2_315,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,160,0.8,0.9301378848919839,0.0008612434986378478,30.648740434777743,26.300253224604603
irls_cg#2_316,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,160,0.7,0.9273206719217751,0.0009015976590796575,30.449872245685462,26.10138503551232
irls_cg#2_317,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,170,1,0.9505142996488477,0.0006008721985266332,32.212178896891935,27.86369168671879
irls_cg#2_318,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,170,0.9,0.9474653101738431,0.0006414944661334867,31.92807085724059,27.579583647067448
irls_cg#2_319,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,170,0.8,0.9452571839080948,0.000672712146760547,31.721707304509096,27.373220094335956
irls_cg#2_320,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,170,0.7,0.9428628117209167,0.0007047284983132391,31.519781658378644,27.171294448205504
irls_cg#2_321,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,180,1,0.9585263183851115,0.0004982341191555198,33.025665352226426,28.677178142053283
irls_cg#2_322,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,180,0.9,0.956086115032476,0.0005317909863284857,32.74259028081878,28.394103070645645
irls_cg#2_323,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,180,0.8,0.9539096826921676,0.0005624715609610896,32.49899430958645,28.150507099413314
irls_cg#2_324,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,180,0.7,0.952109004892022,0.0005874045399106116,32.31062701241023,27.962139802237086
irls_cg#2_325,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,190,1,0.9671342075393695,0.0003946212347951509,34.03819548819689,29.689708278023748
irls_cg#2_326,1-s20-S0929664620300449-gr3_lrg-c,irls_cg,True,190,0.9,0.9649640350926755,0.000423744788176408,33.72895630334929,29.380469093176153
