rec_id,phantom,Algorithm,ideal_measurements,N. angles,p,SSIM,MSE,PSNR [dB],SNR [dB]
irls_cg#2_298,000308150214_all_slices_5,irls_cg,True,120,0.9,0.9919899963636398,2.3834975043101895e-05,46.2278529847362,31.8313507242023
irls_cg#2_299,000308150214_all_slices_5,irls_cg,True,120,0.8,0.9917804677810669,2.510247345841344e-05,46.00283483442662,31.606332573892715
irls_cg#2_300,000308150214_all_slices_5,irls_cg,True,120,0.7,0.99163442562294,2.5971701940814958e-05,45.85499589866821,31.458493638134296
irls_cg#2_301,000308150214_all_slices_5,irls_cg,True,130,1,0.9945692678279877,1.4803935141841484e-05,48.296228262790365,33.899726002256465
irls_cg#2_302,000308150214_all_slices_5,irls_cg,True,130,0.9,0.994531841753006,1.5345506048562554e-05,48.14018785272268,33.74368559218878
irls_cg#2_303,000308150214_all_slices_5,irls_cg,True,130,0.8,0.9944866365652084,1.582688628595248e-05,48.006045179765664,33.60954291923176
irls_cg#2_304,000308150214_all_slices_5,irls_cg,True,130,0.7,0.9943015741262435,1.6771343384178953e-05,47.75432149023656,33.35781922970265
irls_cg#2_305,000308150214_all_slices_5,irls_cg,True,140,1,0.9961275463161469,1.0280351103102809e-05,49.8799205270103,35.48341826647639
irls_cg#2_306,000308150214_all_slices_5,irls_cg,True,140,0.9,0.9960695682239532,1.077286905736878e-05,49.676686189074246,35.28018392854034
irls_cg#2_307,000308150214_all_slices_5,irls_cg,True,140,0.8,0.9960142056856155,1.1178331101188412e-05,49.516230307650716,35.119728047116816
irls_cg#2_308,000308150214_all_slices_5,irls_cg,True,140,0.7,0.9958972506408691,1.1699972661498185e-05,49.31815153037971,34.9216492698458
irls_cg#2_309,000308150214_all_slices_5,irls_cg,True,150,1,0.9974581435289382,6.264398347515734e-06,52.03120633672434,37.634704076190424
irls_cg#2_310,000308150214_all_slices_5,irls_cg,True,150,0.9,0.9974621669750213,6.406598636062136e-06,51.933724830634645,37.537222570100745
irls_cg#2_311,000308150214_all_slices_5,irls_cg,True,150,0.8,0.9973918546257019,6.806731843907532e-06,51.670613584016024,37.2741113234821
irls_cg#2_312,000308150214_all_slices_5,irls_cg,True,150,0.7,0.9972773447628022,7.232978123143569e-06,51.40682848467435,37.01032622414044
irls_cg#2_313,000308150214_all_slices_5,irls_cg,True,160,1,0.9981535259037018,4.409409510906635e-06,53.55619565481184,39.15969339427792
irls_cg#2_314,000308150214_all_slices_5,irls_cg,True,160,0.9,0.9981762740001678,4.508702928179365e-06,53.45948378776973,39.06298152723582
irls_cg#2_315,000308150214_all_slices_5,irls_cg,True,160,0.8,0.9981432416391373,4.678458872635092e-06,53.29897183963416,38.90246957910025
irls_cg#2_316,000308150214_all_slices_5,irls_cg,True,160,0.7,0.9980810424690246,4.914453666168616e-06,53.08524755137289,38.68874529083898
irls_cg#2_317,000308150214_all_slices_5,irls_cg,True,170,1,0.9986546265525817,3.1020039984448854e-06,55.083576467218236,40.68707420668432
irls_cg#2_318,000308150214_all_slices_5,irls_cg,True,170,0.9,0.9986926208868027,3.1127165354925825e-06,55.0686042723804,40.67210201184649
irls_cg#2_319,000308150214_all_slices_5,irls_cg,True,170,0.8,0.9986704829683304,3.2411788792743715e-06,54.892969997798815,40.49646773726491
irls_cg#2_320,000308150214_all_slices_5,irls_cg,True,170,0.7,0.9986273848438263,3.4209389795931575e-06,54.658546723984884,40.26204446345097
irls_cg#2_321,000308150214_all_slices_5,irls_cg,True,180,1,0.9990369553642273,2.213038347300633e-06,56.55011060597473,42.15360834544082
irls_cg#2_322,000308150214_all_slices_5,irls_cg,True,180,0.9,0.9990626027212143,2.215900653335202e-06,56.544497144650386,42.14799488411647
irls_cg#2_323,000308150214_all_slices_5,irls_cg,True,180,0.8,0.9990479059762954,2.299421720129235e-06,56.38381370649451,41.9873114459606
irls_cg#2_324,000308150214_all_slices_5,irls_cg,True,180,0.7,0.999010971581459,2.4338289924664865e-06,56.13709939761349,41.74059713707958
irls_cg#2_325,000308150214_all_slices_5,irls_cg,True,190,1,0.9993986105165481,1.3357465611209137e-06,58.7427593523462,44.34625709181228
irls_cg#2_326,000308150214_all_slices_5,irls_cg,True,190,0.9,0.9994341362123489,1.3068546223004446e-06,58.83772721711209,44.44122495657817
irls_cg#2_327,000308150214_all_slices_5,irls_cg,True,190,0.8,0.9994270133390427,1.361936256506249e-06,58.658432184844855,44.26192992431095
irls_cg#2_328,000308150214_all_slices_5,irls_cg,True,190,0.7,0.9993962926912308,1.4625351965996046e-06,58.3489367361839,43.95243447565
irls_cg#2_329,000308150214_all_slices_5,irls_cg,True,200,1,0.999565546951294,9.860623806577472e-07,60.06095609685077,45.66445383631685
irls_cg#2_330,000308150214_all_slices_5,irls_cg,True,200,0.9,0.9995950411911011,9.63950781069983e-07,60.15945140428512,45.762949143751214
